Cuisine,Item Name,Description,Price,Image
african,Jollof Rice,Traditional West African rice dish with tomatoes and spices,12.50,100x100.gif
african,Fufu with Egusi Soup,Pounded yam served with melon seed soup,14.50,100x100.gif
african,Suya,Grilled spicy meat skewers with peanut sauce,11.99,100x100.gif
african,Akara,"Deep-fried bean cakes, served with pepper sauce",8.50,100x100.gif
african,Bunny Chow,"Hollowed-out bread filled with curry, a South African specialty",15.00,100x100.gif
african,Maasai Beef Stew,Beef stew cooked with Maasai spices and vegetables,16.50,100x100.gif
african,Sadza with Nyama,Traditional Zimbabwean maize porridge with meat,13.50,100x100.gif
african,Piri Piri Chicken,Grilled chicken marinated in spicy Piri Piri sauce,13.99,100x100.gif
african,Chakalaka,"Spicy vegetable relish, often served with bread or pap",10.50,100x100.gif
african,Injera with Doro Wat,Ethiopian flatbread with spicy chicken stew,14.50,100x100.gif
african,Bobotie,South African curried meatloaf with egg topping,12.50,100x100.gif
african,Braaivleis,"Traditional South African barbecue, often featuring boerewors sausages",15.50,100x100.gif
african,Pap en Vleis/Shisa Nyama,"Grilled meat served with maize porridge, a staple in Southern Africa",16.00,100x100.gif
african,Maamou,"West African doughnut-like pastry, sweet and often flavored with spices",8.00,100x100.gif
african,Koshari,"Egyptian dish of rice, lentils, pasta, and spicy tomato sauce",11.50,100x100.gif
african,Pepper Soup,"Spicy broth with meat, fish, or chicken, a popular Nigerian dish",9.50,100x100.gif
african,Mandazi,"East African fried dough similar to a doughnut, often served with tea",7.50,100x100.gif
american,BBQ Ribs,Slow-cooked ribs with barbecue sauce,15.99,100x100.gif
american,Cheeseburger,Classic beef burger with cheese,12.50,100x100.gif
american,Chicken Wings,Crispy fried chicken wings with buffalo sauce,10.99,100x100.gif
american,Macaroni and Cheese,Creamy macaroni pasta with cheddar cheese,9.50,100x100.gif
american,Clam Chowder,New England-style creamy soup with clams,11.50,100x100.gif
american,Apple Pie,Traditional American pie with apples and cinnamon,7.50,100x100.gif
american,Pancakes,Fluffy pancakes served with maple syrup,8.00,100x100.gif
american,Caesar Salad,"Fresh salad with romaine lettuce, croutons, Parmesan cheese, and Caesar dressing",10.00,100x100.gif
american,Hot Dog,Classic hot dog with mustard and ketchup,6.50,100x100.gif
american,Philly Cheesesteak,Grilled steak sandwich with melted cheese and onions,13.50,100x100.gif
american,Fried Chicken,"Crispy fried chicken pieces, served with fries",12.00,100x100.gif
